This is alright,Bot_Control_Approve_Response
For sure!,Bot_Control_Approve_Response
Got it,Bot_Control_Approve_Response
Great,Bot_Control_Approve_Response
I like that,Bot_Control_Approve_Response
Indeed!,Bot_Control_Approve_Response
Sure thing!,Bot_Control_Approve_Response
Sweet,Bot_Control_Approve_Response
That is precisely what I was looking for,Bot_Control_Approve_Response
That is right,Bot_Control_Approve_Response
That is the proper response.,Bot_Control_Approve_Response
That is what I need,Bot_Control_Approve_Response
That's exactly what I want,Bot_Control_Approve_Response
Very well. Let's do it.,Bot_Control_Approve_Response
yeah,Bot_Control_Approve_Response
ok,Bot_Control_Approve_Response
Okay,Bot_Control_Approve_Response
You read my mind,Bot_Control_Approve_Response
Yes,Bot_Control_Approve_Response
"Yeah, that's it!",Bot_Control_Approve_Response
Affirmative. That's what I'm looking for.,Bot_Control_Approve_Response
All right,Bot_Control_Approve_Response
Correct,Bot_Control_Approve_Response
Here is another issue,Bot_Control_Change_Subject
A different matter,Bot_Control_Change_Subject
Another thing,Bot_Control_Change_Subject
Can we talk about something else?,Bot_Control_Change_Subject
Change topic,Bot_Control_Change_Subject
Chat about something else,Bot_Control_Change_Subject
Discuss something else,Bot_Control_Change_Subject
Help me with this other question,Bot_Control_Change_Subject
I have one more question,Bot_Control_Change_Subject
Let us change the topic,Bot_Control_Change_Subject
Let us talk about something else,Bot_Control_Change_Subject
Talk about something else,Bot_Control_Change_Subject
"no, I changed my mind",Bot_Control_Change_Subject
What are you talking about?,Bot_Control_Clarification
What do you mean?,Bot_Control_Clarification
I didn't quite understand what you said,Bot_Control_Clarification
I didn't catch that,Bot_Control_Clarification
I did not quite understand what you gave me,Bot_Control_Clarification
Explains,Bot_Control_Clarification
Come again?,Bot_Control_Clarification
Can you say that again please?,Bot_Control_Clarification
What do you mean by that?,Bot_Control_Clarification
I need more information,Bot_Control_Clarification
I don't understand what you're saying,Bot_Control_Clarification
I don't understand,Bot_Control_Clarification
I didn't understand that properly,Bot_Control_Clarification
What are you referring to?,Bot_Control_Clarification
What are you saying?,Bot_Control_Clarification
"Let's try to say that again more clearly, shall we?",Bot_Control_Clarification
I am still holding,Bot_Control_Confirm_Presence
Is anybody home?,Bot_Control_Confirm_Presence
You around?,Bot_Control_Confirm_Presence
Where'd you go?,Bot_Control_Confirm_Presence
Speak to me if you are there.,Bot_Control_Confirm_Presence
Did you go somewhere?,Bot_Control_Confirm_Presence
Are you there?,Bot_Control_Confirm_Presence
Are you still here with me?,Bot_Control_Confirm_Presence
Are you still around?,Bot_Control_Confirm_Presence
Are you on?,Bot_Control_Confirm_Presence
Are you leaving me?,Bot_Control_Confirm_Presence
Anyone there?,Bot_Control_Confirm_Presence
Am I talking to someone?,Bot_Control_Confirm_Presence
Did you hear what I said?,Bot_Control_Confirm_Presence
Have I lost you?,Bot_Control_Confirm_Presence
Is anybody here?,Bot_Control_Confirm_Presence
Wait! Let's back up few steps and do that again,Bot_Control_Ignore_Undo
I change my mind.,Bot_Control_Ignore_Undo
Hold on! I think I want to do it differently.,Bot_Control_Ignore_Undo
"Actually, I take that back",Bot_Control_Ignore_Undo
I did not mean that?,Bot_Control_Ignore_Undo
"I didn't mean to do that actually, let's go back",Bot_Control_Ignore_Undo
It's not what I mean,Bot_Control_Ignore_Undo
Let us redo that again!,Bot_Control_Ignore_Undo
Never,Bot_Control_Ignore_Undo
Never mind,Bot_Control_Ignore_Undo
Nothing,Bot_Control_Ignore_Undo
Not yet,Bot_Control_Ignore_Undo
You did not understand what I asked,Bot_Control_Reject_Response
I don't want that,Bot_Control_Reject_Response
It is not what I want,Bot_Control_Reject_Response
It is not what I was looking for,Bot_Control_Reject_Response
I wasn't looking for that,Bot_Control_Reject_Response
No I'm fine thanks,Bot_Control_Reject_Response
Bad response,Bot_Control_Reject_Response
Not the right response,Bot_Control_Reject_Response
That answer is incorrect,Bot_Control_Reject_Response
That sounds like the wrong response,Bot_Control_Reject_Response
That was not my intent,Bot_Control_Reject_Response
"That was wrong, try again",Bot_Control_Reject_Response
Wrong response,Bot_Control_Reject_Response
You did not understand what I said,Bot_Control_Reject_Response
You didn't understand me,Bot_Control_Reject_Response
You're misunderstanding me,Bot_Control_Reject_Response
no thanks,Bot_Control_Reject_Response
nope,Bot_Control_Reject_Response
I do not think it is the answer?,Bot_Control_Reject_Response
I don't need that,Bot_Control_Reject_Response
Can you give me a moment?,Bot_Control_Standby
Can you wait for me?,Bot_Control_Standby
Back again soon,Bot_Control_Standby
Be back later,Bot_Control_Standby
Give me a few minutes to get together,Bot_Control_Standby
Be patient with me,Bot_Control_Standby
Give me a moment,Bot_Control_Standby
Wait,Bot_Control_Standby
Out for a break,Bot_Control_Standby
Need a minute here,Bot_Control_Standby
Let me see,Bot_Control_Standby
Hold on,Bot_Control_Standby
In a moment,Bot_Control_Standby
I want stop a moment,Bot_Control_Standby
Give me a second,Bot_Control_Standby
I will be back,Bot_Control_Standby
I would like to put you on hold,Bot_Control_Standby
Just a sec,Bot_Control_Standby
Just hold on,Bot_Control_Standby
Keep holding,Bot_Control_Standby
Let us reopen this again.,Bot_Control_Start_Over
We will need to begin again,Bot_Control_Start_Over
We need a do-over,Bot_Control_Start_Over
Start over,Bot_Control_Start_Over
Restart,Bot_Control_Start_Over
Please start a new chat,Bot_Control_Start_Over
Please reset,Bot_Control_Start_Over
Please initiate from the beginning,Bot_Control_Start_Over
One more time from the beginning,Bot_Control_Start_Over
Let's pick this up from the top again.,Bot_Control_Start_Over
Let's go back to square one,Bot_Control_Start_Over
I would like to start all over,Bot_Control_Start_Over
I want start from the beginning,Bot_Control_Start_Over
I need to reset.,Bot_Control_Start_Over
How can I start over?,Bot_Control_Start_Over
Can we please start over?,Bot_Control_Start_Over
Begin over!,Bot_Control_Start_Over
Back to the top,Bot_Control_Start_Over
Back to the beginning,Bot_Control_Start_Over
"Actually, let's start over",Bot_Control_Start_Over
I have no idea what you are looking for,Bot_Control_Unsure
I don t know what you want,Bot_Control_Unsure
I don t know what you need,Bot_Control_Unsure
You got me,Bot_Control_Unsure
"To be honest, I m really not sure",Bot_Control_Unsure
No idea,Bot_Control_Unsure
No clue,Bot_Control_Unsure
I m not yet convinced,Bot_Control_Unsure
I m not sure what will make you happy,Bot_Control_Unsure
I m not certain I get what you re saying,Bot_Control_Unsure
I haven't got a clue,Bot_Control_Unsure
"I have no idea, actually",Bot_Control_Unsure
How can I receive clothes for a job?,Clothing
Can I get children's shoes?,Clothing
Can I get children's clothes?,Clothing
How can I receive clothing?,Clothing
What paperwork do I need to show?,Documents
documents,Documents
docs,Documents
What do I need to bring with me?,Documents
rent documents,Documents
What documents should I bring to receive assistance?,Documents
donate,Donate
donating,Donate
Can I donate canned goods?,Donate
I have food to donate,Donate
Do you pick up donations?,Donate
Do you accept used items?,Donate
How can I donate money?,Donate
I want to make a donation,Donate
Make a contribution,Donate
I want to contribute,Donate
donate online,Donate
hey I'm moving and I have my old couch that I can't take with me. Will you take this as a donation?,Donate
I want to give,Donate
Old clothes,Donate
I want to support you,Donate
How can I donate?,Donate
I'd like to donate,Donate
I never finished high school,Education
I need help studying for the GED exam,Education
Do you offer GED classes?,Education
How can I continue my education?,Education
I'd like to go back to school,Education
I'm interested in classes,Education
I'm looking for a GED tutor,Education
I need my GED,Education
How can I get food?,Food_Metro_market
food help,Food_Metro_market
Do you have a food pantry?,Food_Metro_market
Where can I get groceries?,Food_Metro_market
food stamp,Food_stamp_assistance
assistance signing up for food stamps,Food_stamp_assistance
food stamp help,Food_stamp_assistance
What should I know about you?,General_About_You
Do you have a name?,General_About_You
Describe your self,General_About_You
